instance,input,start,end,duration,sum_of_cpu,average_memory
cloud-4c8m,145M,2024-12-11T21:24:56Z,2024-12-11T21:26:36Z,72,0.02087723447062584,34865937.06666667
cloud-4c8m,133M,2024-12-11T21:22:27Z,2024-12-11T21:23:40Z,43,0.02240456282785513,18495214.93333333
cloud-4c8m,133M,2024-12-11T21:20:12Z,2024-12-11T21:21:25Z,43,0.01831854512418417,29578581.333333332
cloud-4c8m,133M,2024-12-11T21:16:45Z,2024-12-11T21:18:04Z,51,0.022024969483132845,34795812.57142857
cloud-4c8m,159M,2024-10-30T23:19:39Z,2024-10-30T23:21:19Z,74,0.0219315504090249,12404263.384615386
cloud-4c8m,145M,2024-10-30T23:15:11Z,2024-10-30T23:16:45Z,66,0.02320317917945986,12360310.153846154
cloud-4c8m,133M,2024-10-30T23:09:47Z,2024-10-30T23:11:07Z,51,0.02347975817886617,10846208
cloud-4c16m,133M,2024-12-11T22:43:06Z,2024-12-11T22:44:37Z,56,0.042637806290647035,36074259.692307696
cloud-4c16m,159M,2024-12-11T21:45:56Z,2024-12-11T21:47:40Z,69,0.03729316583203744,59835575.79487179
cloud-4c16m,159M,2024-12-11T21:43:27Z,2024-12-11T21:45:14Z,70,0.035922761107488245,46938427.07692308
cloud-4c16m,159M,2024-12-11T21:41:02Z,2024-12-11T21:42:48Z,71,0.036357354965563096,44569746.28571429
cloud-4c16m,159M,2024-12-11T21:38:32Z,2024-12-11T21:40:24Z,76,0.03799776708106911,16309428.70588235
cloud-4c16m,145M,2024-12-11T21:35:43Z,2024-12-11T21:37:26Z,66,0.036308928978203966,18368739.55555556
cloud-4c16m,145M,2024-12-11T21:33:16Z,2024-12-11T21:35:02Z,70,0.029580685610368612,18436687.644444443
cloud-4c16m,145M,2024-12-11T21:31:05Z,2024-12-11T21:32:49Z,68,0.03382706441096815,18059673.599999998
cloud-4c16m,145M,2024-12-11T21:27:51Z,2024-12-11T21:29:36Z,69,0.029275794890474337,28626670.933333334
cloud-4c16m,133M,2024-12-11T21:21:52Z,2024-12-11T21:23:08Z,49,0.018241646120905484,17669324.800000004
cloud-4c16m,133M,2024-12-11T21:19:24Z,2024-12-11T21:20:39Z,48,0.021722557091275633,18898797.714285716
cloud-4c16m,133M,2024-12-11T21:17:35Z,2024-12-11T21:19:04Z,53,0.039082307275505865,19721137.230769232
cloud-4c16m,159M,2024-10-30T23:20:08Z,2024-10-30T23:21:56Z,73,0.048856622914018266,26330697.142857146
cloud-4c16m,145M,2024-10-30T23:15:36Z,2024-10-30T23:17:20Z,70,0.032700964767899306,34662126.93333333
cloud-4c16m,133M,2024-10-30T23:10:08Z,2024-10-30T23:11:26Z,51,0.024000464889032087,54248192
cloud-2c2m,159M,2024-10-17T18:20:07Z,2024-10-17T18:22:10Z,93,0.04620587527156411,51927722.66666667
cloud-2c2m,145M,2024-10-17T18:16:33Z,2024-10-17T18:18:37Z,93,0.03781235066767722,65182793.14285714
cloud-2c2m,133M,2024-10-17T18:08:24Z,2024-10-17T18:12:12Z,187,0.28910607607432565,49969416.70748299
cloud-2c4m,159M,2024-10-18T10:05:31Z,2024-10-18T10:07:42Z,100,0.04032545273273601,88137634.9090909
cloud-2c4m,145M,2024-10-17T18:17:01Z,2024-10-17T18:18:17Z,41,0.019086341932245055,9209241.600000001
cloud-2c4m,133M,2024-10-17T18:10:29Z,2024-10-17T18:12:39Z,100,0.036134960364422576,72115830.15384616
cloud-2c8m,145M,2024-10-17T18:17:25Z,2024-10-17T18:18:20Z,34,0.012119705678994884,20524470.85714286
cloud-2c8m,133M,2024-10-17T18:10:59Z,2024-10-17T18:13:05Z,90,0.03368796854071653,47471418.38596491
cloud-2c16m,159M,2024-10-17T18:21:40Z,2024-10-17T18:23:10Z,58,0.008053885761029759,47707932.44444445
cloud-2c16m,145M,2024-10-17T18:17:57Z,2024-10-17T18:19:16Z,55,0.020538805739151046,101552686.54545455
cloud-2c16m,133M,2024-10-17T18:13:01Z,2024-10-17T18:15:10Z,84,0.021453811214974056,45235617.18518519
cloud-4c8m,159M,2024-10-17T20:38:24Z,2024-10-17T20:39:19Z,33,0.012427017467561505,16743992.888888888
cloud-4c8m,145M,2024-10-17T20:33:38Z,2024-10-17T20:35:01Z,60,0.02311998580695667,97738565.81818183
cloud-4c8m,133M,2024-10-17T20:26:32Z,2024-10-17T20:28:38Z,86,0.02018016759533626,75327780.57142858
cloud-4c16m,145M,2024-10-17T20:37:46Z,2024-10-17T20:39:25Z,68,0.032956427170876205,41262557.866666675
cloud-4c16m,133M,2024-10-17T20:32:18Z,2024-10-17T20:35:32Z,109,0.03138247710805167,61371882.666666664
